id	name	QOL
554	New Zealand	176.81
558	Nicaragua	no data
562	Niger	no data
566	Nigeria	52.44
570	Niue	no data
574	Norfolk Island	no data
578	Norway	176.39
580	Northern Mariana Islands	no data
581	United States Minor Outlying Islands	no data
583	Micronesia, Federated States of	no data
584	Marshall Islands	no data
585	Palau	no data
586	Pakistan	102.57
591	Panama	114.32
598	Papua New Guinea	no data
600	Paraguay	no data
604	Peru	80.42
608	Philippines	83.74
612	Pitcairn	no data
616	Poland	140.02
620	Portugal	162.52
624	Guinea-Bissau	no data
626	Timor-Leste	no data
630	Puerto Rico	133.77
634	Qatar	154.53
638	Réunion	no data
642	Romania	133.38
643	Russian Federation	no data
646	Rwanda	no data
652	Saint Barthélemy	no data
654	Saint Helena, Ascension and Tristan da Cunha	no data
659	Saint Kitts and Nevis	no data
660	Anguilla	no data
662	Saint Lucia	no data
663	Saint Martin (French part)	no data
666	Saint Pierre and Miquelon	no data
670	Saint Vincent and the Grenadines	no data
674	San Marino	no data
678	Sao Tome and Principe	no data
682	Saudi Arabia	149.54
686	Senegal	no data
688	Serbia	117.23
690	Seychelles	no data
694	Sierra Leone	no data
702	Singapore	151.59
703	Slovakia	151.16
704	Viet Nam	no data
705	Slovenia	169.04
706	Somalia	no data
710	South Africa	136.02
716	Zimbabwe	no data
724	Spain	168.48
728	South Sudan	no data
729	Sudan	no data
732	Western Sahara	no data
740	Suriname	no data
744	Svalbard and Jan Mayen	no data
748	Swaziland	no data
752	Sweden	175.3
756	Switzerland	195.27
760	Syrian Arab Republic	no data
762	Tajikistan	no data
764	Thailand	100.97
768	Togo	no data
772	Tokelau	no data
776	Tonga	no data
780	Trinidad and Tobago	no data
784	United Arab Emirates	160.38
788	Tunisia	114.56
792	Turkey	124.05
795	Turkmenistan	no data
796	Turks and Caicos Islands	no data
798	Tuvalu	no data
800	Uganda	no data
804	Ukraine	111.93
807	Macedonia, the former Yugoslav Republic of	no data
818	Egypt	89.87
826	United Kingdom	161.74
831	Guernsey	no data
832	Jersey	no data
833	Isle of Man	no data
834	Tanzania, United Republic of	no data
840	United States	170.72
850	Virgin Islands, U.S.	no data
854	Burkina Faso	no data
858	Uruguay	122.26
860	Uzbekistan	no data
862	Venezuela, Bolivarian Republic of	no data
876	Wallis and Futuna	no data
882	Samoa	no data
887	Yemen	no data
894	Zambia	no data
