id	name	QOL
624	Guinea-Bissau	-1
626	Timor-Leste	-1
630	Puerto Rico	133.77
634	Qatar	154.53
638	Réunion	-1
642	Romania	133.38
643	Russian Federation	-1
646	Rwanda	-1
652	Saint Barthélemy	-1
654	Saint Helena, Ascension and Tristan da Cunha	-1
659	Saint Kitts and Nevis	-1
660	Anguilla	-1
662	Saint Lucia	-1
663	Saint Martin (French part)	-1
666	Saint Pierre and Miquelon	-1
670	Saint Vincent and the Grenadines	-1
674	San Marino	-1
678	Sao Tome and Principe	-1
682	Saudi Arabia	149.54
686	Senegal	-1
688	Serbia	117.23
690	Seychelles	-1
694	Sierra Leone	-1
702	Singapore	151.59
703	Slovakia	151.16
704	Viet Nam	-1
705	Slovenia	169.04
706	Somalia	-1
710	South Africa	136.02
716	Zimbabwe	-1
724	Spain	168.48
728	South Sudan	-1
729	Sudan	-1
732	Western Sahara	-1
740	Suriname	-1
744	Svalbard and Jan Mayen	-1
748	Swaziland	-1
752	Sweden	175.3
756	Switzerland	195.27
760	Syrian Arab Republic	-1
762	Tajikistan	-1
764	Thailand	100.97
768	Togo	-1
772	Tokelau	-1
776	Tonga	-1
780	Trinidad and Tobago	-1
784	United Arab Emirates	160.38
788	Tunisia	114.56
792	Turkey	124.05
795	Turkmenistan	-1
796	Turks and Caicos Islands	-1
798	Tuvalu	-1
800	Uganda	-1
804	Ukraine	111.93
807	Macedonia, the former Yugoslav Republic of	-1
818	Egypt	89.87
826	United Kingdom	161.74
831	Guernsey	-1
832	Jersey	-1
833	Isle of Man	-1
834	Tanzania, United Republic of	-1
840	United States	170.72
850	Virgin Islands, U.S.	-1
854	Burkina Faso	-1
858	Uruguay	122.26
860	Uzbekistan	-1
862	Venezuela, Bolivarian Republic of	-1
876	Wallis and Futuna	-1
882	Samoa	-1
887	Yemen	-1
894	Zambia	-1
